week,game,bet_type,bet_side,line,edge,stake,result,profit,actual_margin,actual_total,predicted_margin,predicted_total,confidence
7,NO@CHI,spread,home,-4.909090909090909,3.4226669944170416,65.0,WIN,59.085,12,40,-1.4864239146738676,43.606205659482534,0.65
7,NO@CHI,total,under,46.45454545454545,2.8483397950629197,65.0,WIN,59.085,12,40,-1.4864239146738676,43.606205659482534,0.65
7,MIA@CLE,spread,away,-2.5454545454545454,1.3348804024376433,60.0,LOSS,-60.0,25,37,-3.8803349478921887,38.993467478335255,0.6
7,MIA@CLE,total,over,37.40909090909091,1.5843765692443483,60.0,LOSS,-60.0,25,37,-3.8803349478921887,38.993467478335255,0.6
7,NE@TEN,spread,away,7.0,6.627863709310977,65.0,WIN,59.085,-18,44,0.3721362906890233,44.132465329346154,0.65
7,NE@TEN,total,over,41.90909090909091,2.2233744202552472,65.0,WIN,59.085,-18,44,0.3721362906890233,44.132465329346154,0.65
7,LV@KC,spread,home,-11.954545454545457,10.73519885094137,65.0,WIN,59.085,31,31,-1.2193466036040874,48.39730172208745,0.65
7,LV@KC,total,over,45.45454545454545,2.942756267541995,65.0,LOSS,-65.0,31,31,-1.2193466036040874,48.39730172208745,0.65
7,PHI@MIN,spread,away,1.6363636363636365,3.031678223214191,65.0,WIN,59.085,-6,50,-1.3953145868505545,48.01463847929265,0.65
7,PHI@MIN,total,over,43.77272727272727,4.241911206565376,65.0,WIN,59.085,-6,50,-1.3953145868505545,48.01463847929265,0.65
7,NYG@DEN,spread,home,-7.0,4.121295720708708,65.0,WIN,59.085,1,65,-2.8787042792912922,47.32170854371848,0.65
7,NYG@DEN,total,over,40.13636363636363,7.185344907354846,65.0,WIN,59.085,1,65,-2.8787042792912922,47.32170854371848,0.65
7,IND@LAC,spread,away,-1.4090909090909092,1.6875661891454592,65.0,WIN,59.085,-14,62,-3.0966570982363684,55.82467404011071,0.65
7,IND@LAC,total,over,48.36363636363637,7.461037676474341,65.0,WIN,59.085,-14,62,-3.0966570982363684,55.82467404011071,0.65
7,GB@ARI,spread,away,6.5,2.7251264013517296,58.333333333333336,WIN,53.025000000000006,-4,50,3.7748735986482704,48.786886554499695,0.5833333333333334
7,GB@ARI,total,over,44.95454545454545,3.8323410999542418,58.333333333333336,WIN,53.025000000000006,-4,50,3.7748735986482704,48.786886554499695,0.5833333333333334
7,ATL@SF,spread,home,-1.7727272727272727,1.7893835027931488,56.66666666666668,WIN,51.51000000000001,10,30,0.016656230065876132,46.50269798549178,0.5666666666666668
7,TB@DET,spread,home,-5.5,4.226824192140729,65.0,WIN,59.085,15,33,-1.2731758078592712,56.4269688736046,0.65
7,TB@DET,total,over,52.54545454545455,3.881514328150054,65.0,LOSS,-65.0,15,33,-1.2731758078592712,56.4269688736046,0.65
7,HOU@SEA,spread,home,-3.090909090909091,1.5296403194839818,58.333333333333336,WIN,53.025000000000006,8,46,-1.561268771425109,48.256380621168965,0.5833333333333334
7,HOU@SEA,total,over,41.0,7.256380621168965,58.333333333333336,WIN,53.025000000000006,8,46,-1.561268771425109,48.256380621168965,0.5833333333333334
8,MIN@LAC,spread,home,-3.0,4.125513240981388,65.0,WIN,59.085,27,47,1.1255132409813884,48.11826818104713,0.65
8,MIN@LAC,total,over,44.5,3.618268181047128,65.0,WIN,59.085,27,47,1.1255132409813884,48.11826818104713,0.65
8,BUF@CAR,spread,away,7.5,4.04934463882273,65.0,WIN,59.085,-31,49,3.4506553611772697,50.41488595494727,0.65
8,BUF@CAR,total,over,47.5,2.914885954947273,65.0,WIN,59.085,-31,49,3.4506553611772697,50.41488595494727,0.65
